Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Jonathan Marchessault,20222023,VGK,R,R,76,28,29,57,2,21,0.75,19,41,9,16,0,0,1,4,234,12,17:08,37.5
Matty Beniers,20222023,SEA,L,C,80,24,33,57,14,2,0.71,20,46,4,10,0,1,1,4,148,16.2,17:06,42.2
Patrick Kane,20222023,"CHI,NYR",L,R,73,21,36,57,-22,16,0.78,17,35,4,22,0,0,0,1,227,9.3,19:19,50
Pavel Zacha,20222023,BOS,L,C,82,21,36,57,26,16,0.7,18,48,3,8,0,1,0,3,131,16,16:03,45.3
Dawson Mercer,20222023,NJD,R,C,82,27,29,56,22,14,0.68,24,44,2,10,1,2,1,6,161,16.8,16:34,42.4
Reilly Smith,20222023,VGK,L,R,78,26,30,56,11,16,0.72,16,42,6,10,4,4,1,4,180,14.4,16:58,57.1
David Perron,20222023,DET,R,L,82,24,32,56,-7,52,0.68,18,34,6,22,0,0,0,3,195,12.3,16:55,18.2
Nazem Kadri,20222023,CGY,L,C,82,24,32,56,-19,56,0.68,13,37,11,19,0,0,0,4,267,9,17:13,47.5
Matt Duchene,20222023,NSH,L,C,71,22,34,56,4,32,0.79,17,43,5,13,0,0,1,3,168,13.1,18:19,52.9
Max Domi,20222023,"CHI,DAL",L,C,80,20,36,56,-15,82,0.7,12,37,8,19,0,0,2,4,179,11.2,17:46,53.7
Mikael Backlund,20222023,CGY,L,C,82,19,37,56,24,36,0.68,13,40,5,12,1,4,1,2,260,7.3,18:10,50.9
David Krejci,20222023,BOS,R,C,70,16,40,56,23,20,0.8,12,44,4,12,0,0,0,2,112,14.3,17:12,47.4
Andrei Svechnikov,20222023,CAR,L,R,64,23,32,55,6,71,0.86,18,39,5,16,0,0,0,4,205,11.2,18:03,44.4
Brock Boeser,20222023,VAN,R,R,74,18,37,55,-20,24,0.74,12,39,6,16,0,0,0,3,178,10.1,17:14,38.6
Blake Wheeler,20222023,WPG,R,R,72,16,39,55,-3,46,0.76,9,40,7,15,0,0,1,6,126,12.7,17:03,51.6
Jonathan Huberdeau,20222023,CGY,L,C,79,15,40,55,2,36,0.7,11,40,4,15,0,0,0,1,126,11.9,16:52,33.3
Tyson Barrie,20222023,"EDM,NSH",R,D,85,13,42,55,-7,36,0.65,9,23,4,31,0,1,0,1,163,8,19:47,--
Evgeny Kuznetsov,20222023,WSH,L,C,81,12,43,55,-26,56,0.68,7,37,5,18,0,0,1,2,172,7,18:04,47.5
Chris Kreider,20222023,NYR,L,L,79,36,18,54,21,26,0.68,24,33,8,17,4,4,1,3,229,15.7,18:25,45.2
Kevin Hayes,20222023,PHI,L,C,81,18,36,54,-22,23,0.67,12,38,6,16,0,0,0,1,209,8.6,17:34,49.4
Phillip Danault,20222023,LAK,L,C,82,18,36,54,-8,63,0.66,15,32,3,20,0,2,1,1,152,11.8,18:20,54.4
Alex Pietrangelo,20222023,VGK,R,D,73,11,43,54,13,16,0.74,10,38,1,14,0,2,1,3,170,6.5,23:59,100
William Karlsson,20222023,VGK,L,C,82,14,39,53,14,10,0.65,10,39,2,9,2,5,0,2,161,8.7,17:28,55.3
Hampus Lindholm,20222023,BOS,L,D,80,10,43,53,49,56,0.66,9,36,1,17,0,0,1,2,158,6.3,23:11,--
Patrik Laine,20222023,CBJ,R,L,55,22,30,52,-12,16,0.95,14,36,8,16,0,0,0,1,184,12,19:07,35
J.T. Compher,20222023,COL,R,L,82,17,35,52,8,33,0.63,12,38,5,14,0,0,0,3,154,11,20:32,48.8
Drew Doughty,20222023,LAK,R,D,81,9,43,52,12,34,0.64,5,25,4,27,0,0,0,2,145,6.2,26:14,--
Charlie McAvoy,20222023,BOS,R,D,67,7,45,52,29,54,0.78,5,33,2,19,0,0,1,2,105,6.7,22:18,--
Artturi Lehkonen,20222023,COL,L,L,64,21,30,51,8,28,0.8,12,30,8,20,1,1,1,3,150,14,20:27,17.4
Mathew Barzal,20222023,NYI,R,C,58,14,37,51,5,22,0.88,10,32,4,19,0,0,1,5,139,10.1,18:43,35.6
Anders Lee,20222023,NYI,L,L,82,28,22,50,-3,50,0.61,22,36,6,14,0,0,0,4,214,13.1,17:13,54
Jake DeBrusk,20222023,BOS,L,L,64,27,23,50,26,16,0.78,21,35,6,14,0,1,0,6,191,14.1,16:47,26.7
Tyler Seguin,20222023,DAL,R,C,76,21,29,50,3,24,0.66,13,37,7,11,1,2,1,3,189,11.1,16:37,54.7
Vladimir Tarasenko,20222023,"STL,NYR",L,R,69,18,32,50,-14,8,0.72,14,35,3,14,1,1,1,1,169,10.7,16:48,0
Justin Faulk,20222023,STL,R,D,82,11,39,50,-4,34,0.61,9,40,2,10,0,0,1,3,196,5.6,23:23,--
Devon Toews,20222023,COL,L,D,80,7,43,50,39,26,0.63,6,43,1,7,0,0,0,0,165,4.2,25:06,--
Owen Tippett,20222023,PHI,R,R,77,27,22,49,-17,16,0.64,19,37,8,12,0,0,1,4,231,11.7,17:26,63.3
Michael Bunting,20222023,TOR,L,L,82,23,26,49,21,103,0.6,16,39,7,10,0,0,0,4,174,13.2,15:48,50
Noah Dobson,20222023,NYI,R,D,78,13,36,49,4,20,0.63,8,30,5,19,0,0,1,2,206,6.3,20:23,--
Rasmus Andersson,20222023,CGY,R,D,79,11,38,49,5,26,0.62,9,26,1,21,1,2,1,4,159,6.9,24:05,--
Matias Maccelli,20222023,ARI,L,L,64,11,38,49,0,18,0.77,10,36,1,13,0,0,0,1,61,18,15:41,0
Victor Hedman,20222023,TBL,L,D,76,9,40,49,10,42,0.64,7,32,1,14,1,3,0,1,185,4.9,23:43,--
Jason Zucker,20222023,PIT,L,L,78,27,21,48,-4,47,0.62,25,39,2,9,0,0,1,5,197,13.7,15:39,26.7
Tomas Tatar,20222023,NJD,L,L,82,20,28,48,41,30,0.59,19,44,1,4,0,0,0,1,153,13.1,15:07,39.5
Yanni Gourde,20222023,SEA,L,C,81,14,34,48,23,76,0.59,10,43,3,4,1,1,1,2,141,9.9,17:08,49.7
Cam Fowler,20222023,ANA,L,D,82,10,38,48,-23,14,0.59,6,34,4,14,0,0,0,1,130,7.7,24:10,--
Valeri Nichushkin,20222023,COL,L,R,53,17,30,47,15,2,0.89,6,28,10,16,1,3,0,2,158,10.8,20:16,0
Alexander Barabanov,20222023,SJS,L,L,68,15,32,47,-30,20,0.69,12,34,3,13,0,0,0,2,120,12.5,18:03,33.3
Daniel Sprong,20222023,SEA,R,R,66,21,25,46,13,14,0.7,15,32,6,14,0,0,0,3,147,14.3,11:25,40
Bryan Rust,20222023,PIT,R,R,81,20,26,46,-4,31,0.57,18,34,2,11,0,1,1,2,211,9.5,17:54,50
Marcus Johansson,20222023,"WSH,MIN",L,L,80,19,27,46,3,8,0.58,12,26,5,18,2,2,1,7,137,13.9,16:29,44.2
Morgan Frost,20222023,PHI,L,C,81,19,27,46,-12,24,0.57,18,41,1,5,0,0,0,3,155,12.3,16:21,45.9
Conor Garland,20222023,VAN,R,R,81,17,29,46,-5,31,0.57,15,34,2,12,0,0,1,2,167,10.2,15:07,21.4
Boone Jenner,20222023,CBJ,L,C,68,26,19,45,-32,51,0.66,19,34,7,11,0,0,1,3,214,12.2,20:12,54.7
Lawson Crouse,20222023,ARI,L,L,77,24,21,45,-3,35,0.58,18,37,6,8,0,0,0,3,151,15.9,17:45,40.2
Filip Chytil,20222023,NYR,L,C,74,22,23,45,15,30,0.61,19,40,3,5,0,0,1,4,177,12.4,14:41,39.8
Dominik Kubalik,20222023,DET,L,L,81,20,25,45,-15,24,0.56,13,28,7,17,0,0,1,3,174,11.5,14:55,48.6
Oliver Bjorkstrand,20222023,SEA,R,R,81,20,25,45,-1,16,0.56,15,35,5,10,0,0,1,1,198,10.1,15:37,30.5
Dillon Dube,20222023,CGY,L,C,82,18,27,45,-6,47,0.55,15,39,1,4,2,2,1,3,151,11.9,15:10,45
Lucas Raymond,20222023,DET,R,L,74,17,28,45,-17,24,0.61,12,26,5,19,0,0,0,4,134,12.7,17:23,29.4
Charlie Coyle,20222023,BOS,R,C,82,16,29,45,29,30,0.55,15,40,0,0,1,5,0,0,139,11.5,16:59,52.6
Ivan Barbashev,20222023,"STL,VGK",L,C,82,16,29,45,1,42,0.55,14,39,2,5,0,1,0,2,126,12.7,16:45,38.2
Jack Roslovic,20222023,CBJ,R,C,77,11,33,44,-14,10,0.57,7,32,2,9,2,3,1,2,123,8.9,16:27,45
Barrett Hayton,20222023,ARI,L,C,82,19,24,43,-5,42,0.52,15,32,4,10,0,1,2,4,178,10.7,17:30,51.1
Scott Laughton,20222023,PHI,L,C,78,18,25,43,-9,50,0.55,10,27,5,9,3,7,0,0,170,10.6,18:17,47.3
Jesperi Kotkaniemi,20222023,CAR,L,C,82,18,25,43,10,50,0.52,14,31,3,11,1,1,0,2,129,14,14:44,51.4
Andrew Mangiapane,20222023,CGY,L,L,82,17,26,43,12,40,0.52,15,37,2,4,0,2,0,1,182,9.3,16:49,35.7
Tommy Novak,20222023,NSH,L,C,51,17,26,43,5,8,0.84,12,31,5,12,0,0,1,3,93,18.3,14:39,44.5
Eetu Luostarinen,20222023,FLA,L,C,82,17,26,43,19,28,0.52,15,37,2,5,0,1,0,1,132,12.9,15:59,41.9
Mason McTavish,20222023,ANA,L,C,80,17,26,43,-19,44,0.54,10,29,7,14,0,0,0,1,161,10.6,15:22,42.3
Darnell Nurse,20222023,EDM,L,D,82,12,31,43,26,64,0.52,10,39,0,1,2,3,1,4,203,5.9,23:30,--
K'Andre Miller,20222023,NYR,L,D,79,9,34,43,12,47,0.54,9,38,0,3,0,2,0,2,113,8,21:57,--
Filip Forsberg,20222023,NSH,R,L,50,19,23,42,-4,20,0.84,15,29,4,13,0,0,0,2,157,12.1,17:28,0
Tony DeAngelo,20222023,PHI,R,D,70,11,31,42,-27,73,0.6,7,23,4,19,0,0,1,1,174,6.3,22:04,--
Andrew Copp,20222023,DET,L,C,82,9,33,42,2,25,0.51,7,36,1,5,1,1,1,2,120,7.5,18:09,49.8
Erik Gustafsson,20222023,"WSH,TOR",L,D,70,7,35,42,9,23,0.6,7,28,0,14,0,0,0,2,122,5.7,19:46,--
Moritz Seider,20222023,DET,R,D,82,5,37,42,-11,40,0.51,3,25,1,15,1,2,0,1,140,3.6,23:09,--
Nino Niederreiter,20222023,"NSH,WPG",L,R,78,24,17,41,-13,22,0.53,20,34,4,7,0,0,0,2,181,13.3,16:17,61.5
Wyatt Johnston,20222023,DAL,R,C,82,24,17,41,6,20,0.5,21,34,3,7,0,0,0,3,160,15,15:29,43.3
Gabriel Vilardi,20222023,LAK,R,R,63,23,18,41,10,18,0.65,18,32,5,9,0,0,0,6,122,18.9,15:36,46
Frank Vatrano,20222023,ANA,L,R,81,22,19,41,-29,66,0.51,17,32,5,9,0,0,1,1,231,9.5,16:41,41.2
Ryan Strome,20222023,ANA,R,C,82,15,26,41,-30,79,0.5,14,37,1,4,0,0,2,2,130,11.5,17:02,43.8
Erik Haula,20222023,NJD,L,L,80,14,27,41,13,47,0.51,10,31,2,7,2,3,0,0,164,8.5,16:38,54.2
Shayne Gostisbehere,20222023,"ARI,CAR",L,D,75,13,28,41,-5,32,0.55,6,24,5,15,2,2,0,2,155,8.4,20:49,--
Gustav Forsling,20222023,FLA,L,D,82,13,28,41,19,40,0.5,12,34,1,5,0,2,0,3,209,6.2,23:26,--
Kris Letang,20222023,PIT,R,D,64,12,29,41,-13,30,0.64,5,19,6,21,1,1,3,3,161,7.5,24:51,--
Thomas Chabot,20222023,OTT,L,D,68,11,30,41,-11,52,0.6,6,21,5,20,0,0,0,0,165,6.7,24:58,--
Mikael Granlund,20222023,"NSH,PIT",L,C,79,10,31,41,-15,20,0.52,9,29,1,12,0,0,0,1,121,8.3,17:50,44.5
Shea Theodore,20222023,VGK,L,D,55,8,33,41,16,18,0.75,6,32,2,9,0,0,1,2,136,5.9,21:26,--
Morgan Rielly,20222023,TOR,L,D,65,4,37,41,-9,21,0.63,3,24,1,17,0,0,0,1,126,3.2,21:42,--
Victor Olofsson,20222023,BUF,L,L,75,28,12,40,-23,4,0.53,21,28,7,12,0,0,2,5,161,17.4,14:21,16.7
Jaden Schwartz,20222023,SEA,L,C,71,21,19,40,-17,22,0.56,15,32,6,8,0,0,0,2,167,12.6,17:25,46.5
Andreas Athanasiou,20222023,CHI,L,C,81,20,20,40,-29,34,0.49,17,33,3,7,0,0,1,4,175,11.4,16:00,46.6
Anthony Beauvillier,20222023,"NYI,VAN",L,L,82,18,22,40,-10,24,0.49,15,36,3,4,0,0,1,5,176,10.2,16:16,23.1
Kaapo Kakko,20222023,NYR,L,R,82,18,22,40,12,8,0.49,18,37,0,3,0,0,0,2,125,14.4,15:18,25
Sam Bennett,20222023,FLA,L,C,63,16,24,40,5,54,0.63,12,31,4,9,0,0,0,3,193,8.3,17:24,47
Kent Johnson,20222023,CBJ,L,C,79,16,24,40,-19,14,0.51,11,28,5,12,0,0,1,3,126,12.7,14:31,29.5
Jean-Gabriel Pageau,20222023,NYI,R,C,70,13,27,40,-2,14,0.57,5,28,5,8,3,4,0,2,123,10.6,17:37,57.3
Evan Bouchard,20222023,EDM,R,D,82,8,32,40,6,28,0.49,6,26,2,13,0,1,1,2,156,5.1,18:31,--
Calle Jarnkrok,20222023,TOR,R,C,73,20,19,39,9,14,0.53,16,31,3,5,1,3,0,2,106,18.9,14:23,44.7
